model,draw,layer,separation_ratio,mean_centroid_dist,mean_spread
pythia-1.4b,draw_1,19,16.37845630706225,23.564734871145763,1.4387640953063965
pythia-1.4b,draw_1,20,16.549096194034366,24.067258633816174,1.4542944431304932
pythia-1.4b,draw_1,21,16.73465220124198,24.89471945496684,1.4876149892807007
pythia-1.4b,draw_1,22,16.9445372335838,26.92089499169827,1.5887654304504395
pythia-1.4b,draw_1,23,20.75973986100659,37.35190862881938,1.799247431755066
pythia-1.4b,draw_2,0,10.88820269128357,4.543576089759957,0.4172934889793396
pythia-1.4b,draw_2,1,12.244284456615759,5.760859039735931,0.4704937279224396
pythia-1.4b,draw_2,2,12.792129983323223,6.408751126064871,0.5009917140007019
pythia-1.4b,draw_2,3,11.725231388887929,6.230057924133426,0.5313377380371094
pythia-1.4b,draw_2,4,11.864283407156991,6.820653145512898,0.574889600276947
pythia-1.4b,draw_2,5,11.532304287058656,6.814225698331649,0.5908815383911132
pythia-1.4b,draw_2,6,11.444057673677472,6.985523576313822,0.6104061841964722
pythia-1.4b,draw_2,7,11.53431370931687,7.56829626135942,0.6561548829078674
pythia-1.4b,draw_2,8,11.572264605799836,7.747715089185617,0.6695072531700135
pythia-1.4b,draw_2,9,11.527406280742458,7.901747901244424,0.6854749202728272
pythia-1.4b,draw_2,10,11.515433106316653,10.168165507377287,0.8830033063888549
pythia-1.4b,draw_2,11,12.173972860551483,10.370220531689244,0.8518353581428528
pythia-1.4b,draw_2,12,13.2210897619748,11.661204553305721,0.8820153832435608
pythia-1.4b,draw_2,13,13.129819818998653,12.56484383221283,0.9569700121879577
pythia-1.4b,draw_2,14,13.449611088019758,13.759241086705881,1.0230214834213256
pythia-1.4b,draw_2,15,13.825622483959963,15.784387263797921,1.141676425933838
pythia-1.4b,draw_2,16,14.665868759541576,18.492999141922596,1.2609549045562745
pythia-1.4b,draw_2,17,15.219642343072445,19.895394828615125,1.3072182893753053
pythia-1.4b,draw_2,18,15.614952858209017,21.58449714389452,1.382296657562256
pythia-1.4b,draw_2,19,16.224301232092888,23.318103759845133,1.4372331619262695
pythia-1.4b,draw_2,20,16.49625383732841,24.002287988565975,1.4550144672393799
pythia-1.4b,draw_2,21,16.78383906481231,24.979222642234603,1.4882901668548585
pythia-1.4b,draw_2,22,17.05871956609658,27.147694978912096,1.5914263010025025
pythia-1.4b,draw_2,23,20.19018253606136,36.44965803457539,1.8053159236907959
pythia-1.4b,draw_3,0,10.776450259893343,4.4975765682411675,0.41735232472419737
pythia-1.4b,draw_3,1,12.08153545799927,5.689152982049438,0.4708965182304382
pythia-1.4b,draw_3,2,12.375848684634532,6.193417534393039,0.5004438638687134
pythia-1.4b,draw_3,3,11.938357326105539,6.323425803013609,0.529673022031784
pythia-1.4b,draw_3,4,11.605888888625525,6.642424651670723,0.5723322629928589
pythia-1.4b,draw_3,5,11.252189963906531,6.6351248925416515,0.5896740913391113
pythia-1.4b,draw_3,6,10.889313316563742,6.643957746124515,0.6101356029510498
pythia-1.4b,draw_3,7,11.3015717043581,7.4100290273051455,0.6556635856628418
