method,model,band,draw,size_multiplier,n_edges,n_edges_acdc_ref,total_edges,size_fraction,n_edges_method,n_edges_acdc,n_intersection,n_union,jaccard,recall_in_acdc,recall_in_method,dice
eap_ig,pythia-410m,very_low,draw_2,2.0,7638,3819,80581,0.09478661222868914,7638,3819,2726,8731,0.3122208223571183,0.7137994239329667,0.35689971196648335,0.47586628262197783
eap_ig,pythia-410m,very_low,draw_2,3.0,11457,3819,80581,0.14217991834303373,11457,3819,3143,12133,0.2590455781752246,0.8229903115998952,0.27433010386663176,0.4114951557999476
eap_ig,pythia-410m,very_low,draw_2,5.0,19095,3819,80581,0.23696653057172287,19095,3819,3492,19422,0.17979610750695088,0.9143754909662215,0.1828750981932443,0.30479183032207385
eap_ig,pythia-410m,very_low,draw_3,0.1,374,3739,80581,0.004641292612402427,374,3739,329,3784,0.08694503171247357,0.08799144156191495,0.8796791443850267,0.1599805494772672
eap_ig,pythia-410m,very_low,draw_3,0.2,748,3739,80581,0.009282585224804855,748,3739,596,3891,0.1531739912618864,0.15940090933404655,0.7967914438502673,0.26565634053933584
eap_ig,pythia-410m,very_low,draw_3,0.3,1122,3739,80581,0.013923877837207282,1122,3739,848,4013,0.21131323199601296,0.22679860925381118,0.7557932263814616,0.3488994034149352
eap_ig,pythia-410m,very_low,draw_3,0.5,1870,3739,80581,0.02320646306201214,1870,3739,1228,4381,0.2803013010728144,0.32843006151377374,0.6566844919786097,0.4378677126047424
eap_ig,pythia-410m,very_low,draw_3,0.75,2804,3739,80581,0.034797284719723015,2804,3739,1585,4958,0.31968535699878986,0.423910136400107,0.5652639087018545,0.48448723826990675
eap_ig,pythia-410m,very_low,draw_3,1.0,3739,3739,80581,0.04640051625072908,3739,3739,1909,5569,0.3427904471179745,0.5105643220112329,0.5105643220112329,0.5105643220112329
eap_ig,pythia-410m,very_low,draw_3,1.5,5608,3739,80581,0.06959456943944603,5608,3739,2354,6993,0.33662233662233665,0.6295801016314523,0.4197574893009986,0.5036910238579223
eap_ig,pythia-410m,very_low,draw_3,2.0,7478,3739,80581,0.09280103250145816,7478,3739,2669,8548,0.3122367805334581,0.713827226531158,0.356913613265579,0.47588481768743873
eap_ig,pythia-410m,very_low,draw_3,3.0,11217,3739,80581,0.13920154875218724,11217,3739,3053,11903,0.25648996051415607,0.8165284835517518,0.27217616118391724,0.4082642417758759
eap_ig,pythia-410m,very_low,draw_3,5.0,18695,3739,80581,0.2320025812536454,18695,3739,3418,19016,0.1797433740008414,0.9141481679593474,0.1828296335918695,0.30471605598644913
eap_ig,pythia-1b,very_low,draw_1,0.1,94,940,10009,0.009391547607153562,94,940,84,950,0.08842105263157894,0.08936170212765958,0.8936170212765957,0.16247582205029013
eap_ig,pythia-1b,very_low,draw_1,0.2,188,940,10009,0.018783095214307124,188,940,157,971,0.16168898043254376,0.16702127659574467,0.8351063829787234,0.2783687943262411
eap_ig,pythia-1b,very_low,draw_1,0.3,282,940,10009,0.028174642821460684,282,940,215,1007,0.2135054617676266,0.22872340425531915,0.7624113475177305,0.3518821603927987
eap_ig,pythia-1b,very_low,draw_1,0.5,470,940,10009,0.04695773803576781,470,940,324,1086,0.2983425414364641,0.3446808510638298,0.6893617021276596,0.4595744680851064
