model,draw,layer,mi_probe,mi_fano,probe_accuracy,method
pythia-1b,draw_3,15,1.1914464585261944,0.7830459473921658,0.6817777777777777,probe
pythia-1.4b,draw_1,0,0.867282031080159,0.49065888379084344,0.576,probe
pythia-1.4b,draw_1,1,0.9476347674275343,0.5463915061024367,0.5982222222222222,probe
pythia-1.4b,draw_1,2,0.978407578954561,0.5718499972921365,0.6079999999999999,probe
pythia-1.4b,draw_1,3,0.9698822606709123,0.5625256670750165,0.6044444444444445,probe
pythia-1.4b,draw_1,4,0.9701800814036032,0.5532776202723237,0.6008888888888888,probe
pythia-1.4b,draw_1,5,0.978805708890268,0.5625256670750165,0.6044444444444445,probe
pythia-1.4b,draw_1,6,0.9066535772291868,0.5237455572175087,0.5893333333333333,probe
pythia-1.4b,draw_1,7,0.9398762333773942,0.5395480760233158,0.5955555555555556,probe
pythia-1.4b,draw_1,8,0.9981942273570406,0.6147602030261095,0.6239999999999999,probe
pythia-1.4b,draw_1,9,0.9567460373145611,0.597887250394538,0.6177777777777778,probe
pythia-1.4b,draw_1,10,0.9647123728461886,0.503767017177067,0.5813333333333334,probe
pythia-1.4b,draw_1,11,0.9911562393205084,0.5718499972921367,0.608,probe
pythia-1.4b,draw_1,12,1.0361145109480063,0.5931099195702583,0.616,probe
pythia-1.4b,draw_1,13,1.0102758989888636,0.5671782818712814,0.6062222222222221,probe
pythia-1.4b,draw_1,14,1.0515642553053521,0.6026838912273909,0.6195555555555555,probe
pythia-1.4b,draw_1,15,1.1159874414457147,0.6744278890830793,0.6453333333333333,probe
pythia-1.4b,draw_1,16,1.249282615882066,0.7996702297556166,0.6871111111111111,probe
pythia-1.4b,draw_1,17,1.227068211850027,0.7858034797271733,0.6826666666666668,probe
pythia-1.4b,draw_1,18,1.2834764728427708,0.8278024474228398,0.696,probe
pythia-1.4b,draw_1,19,1.3377868311090841,0.8622731337497493,0.7066666666666667,probe
pythia-1.4b,draw_1,20,1.3527519245452377,0.8916029808990065,0.7155555555555555,probe
pythia-1.4b,draw_1,21,1.3471562971651907,0.8916029808990065,0.7155555555555555,probe
pythia-1.4b,draw_1,22,1.351033721189635,0.9094690644915666,0.7208888888888889,probe
pythia-1.4b,draw_1,23,1.3315881814833963,0.9275391088798988,0.7262222222222222,probe
pythia-1.4b,draw_2,0,0.8654233696747033,0.427628598387938,0.5493333333333333,probe
pythia-1.4b,draw_2,1,0.9716844718173687,0.47771878274758217,0.5706666666666667,probe
pythia-1.4b,draw_2,2,0.9959545876308584,0.514819236391141,0.5857777777777777,probe
pythia-1.4b,draw_2,3,0.9614061502855029,0.47986382063603994,0.5715555555555556,probe
pythia-1.4b,draw_2,4,0.9904481880485527,0.5327472384616456,0.5928888888888888,probe
pythia-1.4b,draw_2,5,0.9565614915102336,0.48416786375401766,0.5733333333333334,probe
pythia-1.4b,draw_2,6,0.9895220916660972,0.5486821302094067,0.5991111111111111,probe
pythia-1.4b,draw_2,7,1.0036448065104782,0.5463915061024365,0.5982222222222221,probe
pythia-1.4b,draw_2,8,0.9725359347874445,0.5125994083938079,0.5848888888888888,probe
pythia-1.4b,draw_2,9,0.9898127878411151,0.505968082599676,0.5822222222222223,probe
pythia-1.4b,draw_2,10,0.9865717295760565,0.5015706353150591,0.5804444444444444,probe
pythia-1.4b,draw_2,11,1.0287586146206271,0.5463915061024365,0.5982222222222221,probe
pythia-1.4b,draw_2,12,1.0390032277495198,0.597887250394538,0.6177777777777778,probe
pythia-1.4b,draw_2,13,1.03230895649038,0.5931099195702583,0.616,probe
pythia-1.4b,draw_2,14,1.127020178800013,0.6846494134590968,0.6488888888888888,probe
pythia-1.4b,draw_2,15,1.165580513394068,0.7184242167028141,0.6604444444444444,probe
pythia-1.4b,draw_2,16,1.1978746825322193,0.7343014911530927,0.6657777777777778,probe
pythia-1.4b,draw_2,17,1.219721697166608,0.7396348267662465,0.6675555555555556,probe
pythia-1.4b,draw_2,18,1.2625261534609413,0.7996702297556166,0.6871111111111111,probe
