model,draw,band,layer,mean_norm,std_norm,median_norm
pythia-410m,draw_2,control,1,5.969114780426025,0.7133359909057617,5.849959373474121
pythia-410m,draw_2,control,2,6.4421820640563965,0.5438706874847412,6.392491340637207
pythia-410m,draw_2,control,3,6.677486896514893,0.532681405544281,6.606095790863037
pythia-410m,draw_2,control,4,6.8777360916137695,0.5709370374679565,6.814563274383545
pythia-410m,draw_2,control,5,8.990853309631348,0.5465401411056519,8.93429183959961
pythia-410m,draw_2,control,6,7.372642517089844,0.33728399872779846,7.3329548835754395
pythia-410m,draw_2,control,7,8.285911560058594,0.4801144301891327,8.294479370117188
pythia-410m,draw_2,control,8,10.868228912353516,0.8477485775947571,10.827699661254883
pythia-410m,draw_2,control,9,11.476776123046875,0.959549069404602,11.454727172851562
pythia-410m,draw_2,control,10,10.135318756103516,0.8947329521179199,10.096952438354492
pythia-410m,draw_2,control,11,10.222952842712402,0.7977867126464844,10.160805702209473
pythia-410m,draw_2,control,12,8.398310661315918,0.598611056804657,8.36185073852539
pythia-410m,draw_2,control,13,13.878747940063477,2.6599745750427246,13.80714225769043
pythia-410m,draw_2,control,14,10.498191833496094,1.385274887084961,10.475092887878418
pythia-410m,draw_2,control,15,10.64002799987793,1.0879454612731934,10.699664115905762
pythia-410m,draw_2,control,16,14.068665504455566,1.198472023010254,14.138643264770508
pythia-410m,draw_2,control,17,13.249787330627441,6.1295905113220215,11.356766700744629
pythia-410m,draw_2,control,18,14.052992820739746,2.9461379051208496,13.601055145263672
pythia-410m,draw_2,control,19,24.9187068939209,4.141876697540283,24.750852584838867
pythia-410m,draw_2,control,20,15.903250694274902,6.6803412437438965,13.653514862060547
pythia-410m,draw_2,control,21,21.221071243286133,4.16180419921875,21.188671112060547
pythia-410m,draw_2,control,22,20.894567489624023,2.6851632595062256,20.607254028320312
pythia-410m,draw_2,control,23,47.47990417480469,4.4476423263549805,47.111412048339844
pythia-410m,draw_3,low,0,13.669607162475586,1.3830885887145996,13.657022476196289
pythia-410m,draw_3,low,1,6.276256561279297,0.8128604292869568,6.136768341064453
pythia-410m,draw_3,low,2,6.443587779998779,0.5343955755233765,6.458780765533447
pythia-410m,draw_3,low,3,6.310085773468018,0.43239688873291016,6.26325798034668
pythia-410m,draw_3,low,4,6.817131042480469,0.505506694316864,6.8135175704956055
pythia-410m,draw_3,low,5,9.684826850891113,0.5660233497619629,9.672422409057617
pythia-410m,draw_3,low,6,7.498562335968018,0.33797013759613037,7.500363349914551
