model,draw,band,layer,mean_logit_contrib,std_logit_contrib,median_logit_contrib,method
pythia-410m,draw_2,low,15,-0.13567645847797394,0.2087804526090622,-0.12246814370155334,direct
pythia-410m,draw_2,low,16,-0.22102664411067963,0.25760385394096375,-0.20562677085399628,direct
pythia-410m,draw_2,low,17,0.18470045924186707,0.3905627727508545,0.11740050464868546,direct
pythia-410m,draw_2,low,18,-0.01850762404501438,0.45192503929138184,-0.05219943821430206,direct
pythia-410m,draw_2,low,19,0.12240879237651825,0.3257993459701538,0.10535100102424622,direct
pythia-410m,draw_2,low,20,-0.01769147627055645,0.41171780228614807,-0.037655770778656006,direct
pythia-410m,draw_2,low,21,-0.18868659436702728,0.40671050548553467,-0.19213387370109558,direct
pythia-410m,draw_2,low,22,0.6435444951057434,0.4078400433063507,0.6466823220252991,direct
pythia-410m,draw_2,low,23,2.5865745544433594,0.677398681640625,2.654745578765869,direct
pythia-410m,draw_2,medium,0,-0.01577032171189785,0.2953895032405853,-0.001081995666027069,direct
pythia-410m,draw_2,medium,1,-0.025823092088103294,0.140235036611557,-0.025418788194656372,direct
pythia-410m,draw_2,medium,2,-0.02281326800584793,0.14602428674697876,-0.025263570249080658,direct
pythia-410m,draw_2,medium,3,0.009570298716425896,0.15003176033496857,-0.0020002052187919617,direct
pythia-410m,draw_2,medium,4,-0.010901128873229027,0.16042324900627136,-0.01037248782813549,direct
pythia-410m,draw_2,medium,5,-0.005989480763673782,0.23758037388324738,-0.00528746098279953,direct
pythia-410m,draw_2,medium,6,0.032576560974121094,0.13741031289100647,0.02857210487127304,direct
pythia-410m,draw_2,medium,7,0.006784691475331783,0.18292129039764404,0.017345760017633438,direct
pythia-410m,draw_2,medium,8,0.017135897651314735,0.24387556314468384,0.014346390962600708,direct
pythia-410m,draw_2,medium,9,-0.04307801276445389,0.2694215476512909,-0.06343498826026917,direct
pythia-410m,draw_2,medium,10,5.292177229421213e-05,0.2221076339483261,-0.014005854725837708,direct
pythia-410m,draw_2,medium,11,-0.11151493340730667,0.24255208671092987,-0.11993195861577988,direct
pythia-410m,draw_2,medium,12,-0.1315722018480301,0.19823947548866272,-0.12802639603614807,direct
pythia-410m,draw_2,medium,13,-0.09319286048412323,0.26356321573257446,-0.1027725338935852,direct
pythia-410m,draw_2,medium,14,-0.00767282210290432,0.19107301533222198,-0.019884292036294937,direct
pythia-410m,draw_2,medium,15,-0.07090736925601959,0.21226796507835388,-0.06656783819198608,direct
pythia-410m,draw_2,medium,16,-0.19969843327999115,0.26412588357925415,-0.18370458483695984,direct
