model,band,draw,layer,head,base_induction_score,circuit_induction_score,delta_induction,in_base_induction,in_circuit_induction
pythia-410m,high,draw_2,0,5,0.6796678304672241,0.6796678304672241,0.0,True,True
pythia-410m,high,draw_2,6,0,0.9718415141105652,0.9787189364433289,0.006877422332763672,True,True
pythia-410m,high,draw_2,7,8,0.8645833134651184,0.8837862610816956,0.01920294761657715,True,True
pythia-410m,high,draw_3,9,9,0.3113236725330353,0.30215921998023987,-0.00916445255279541,True,True
pythia-410m,high,draw_3,2,10,0.6203179955482483,0.6320117115974426,0.011693716049194336,True,True
pythia-410m,high,draw_3,7,0,0.3737390339374542,0.3822953402996063,0.0085563063621521,True,True
pythia-410m,high,draw_3,1,4,0.5786253809928894,0.5893998742103577,0.010774493217468262,True,True
pythia-410m,high,draw_3,9,8,0.7055445909500122,0.6753560304641724,-0.030188560485839844,True,True
pythia-410m,high,draw_3,0,5,0.6880072951316833,0.6880072951316833,0.0,True,True
pythia-410m,high,draw_3,6,0,0.9736166596412659,0.9796732664108276,0.006056606769561768,True,True
pythia-410m,high,draw_3,7,8,0.8743177056312561,0.8853046298027039,0.010986924171447754,True,True
pythia-410m,very_high,draw_1,9,9,0.28551703691482544,0.2876546084880829,0.0021375715732574463,True,True
pythia-410m,very_high,draw_1,2,10,0.6440821886062622,0.6531082987785339,0.009026110172271729,True,True
pythia-410m,very_high,draw_1,7,0,0.3632008731365204,0.3845209777355194,0.021320104598999023,True,True
pythia-410m,very_high,draw_1,1,4,0.5607118606567383,0.5624356269836426,0.0017237663269042969,True,True
pythia-410m,very_high,draw_1,9,8,0.6681950092315674,0.6585527062416077,-0.009642302989959717,True,True
pythia-410m,very_high,draw_1,0,5,0.611846387386322,0.611846387386322,0.0,True,True
pythia-410m,very_high,draw_1,6,0,0.974841833114624,0.9787123203277588,0.0038704872131347656,True,True
pythia-410m,very_high,draw_1,7,8,0.8591247797012329,0.8762053847312927,0.017080605030059814,True,True
pythia-410m,very_high,draw_2,9,9,0.2828311026096344,0.27313634753227234,-0.00969475507736206,True,True
pythia-410m,very_high,draw_2,2,10,0.6472090482711792,0.6619505882263184,0.01474153995513916,True,True
pythia-410m,very_high,draw_2,7,0,0.36028775572776794,0.3703659474849701,0.010078191757202148,True,True
pythia-410m,very_high,draw_2,1,4,0.5578887462615967,0.5632058382034302,0.005317091941833496,True,True
pythia-410m,very_high,draw_2,9,8,0.6689015030860901,0.6629489660263062,-0.0059525370597839355,True,True
pythia-410m,very_high,draw_2,0,5,0.6114864349365234,0.6114864349365234,0.0,True,True
pythia-410m,very_high,draw_2,6,0,0.9758668541908264,0.9775041937828064,0.0016373395919799805,True,True
pythia-410m,very_high,draw_2,7,8,0.8536819219589233,0.8719450831413269,0.018263161182403564,True,True
pythia-410m,very_high,draw_3,9,9,0.2862392067909241,0.2689695358276367,-0.017269670963287354,True,True
pythia-410m,very_high,draw_3,2,10,0.6508604884147644,0.6628383994102478,0.011977910995483398,True,True
pythia-410m,very_high,draw_3,7,0,0.3559819757938385,0.3755143880844116,0.01953241229057312,True,True
pythia-410m,very_high,draw_3,1,4,0.5622904896736145,0.5670604705810547,0.0047699809074401855,True,True
pythia-410m,very_high,draw_3,9,8,0.6852364540100098,0.6760970950126648,-0.00913935899734497,True,True
pythia-410m,very_high,draw_3,0,5,0.6055779457092285,0.6055779457092285,0.0,True,True
pythia-410m,very_high,draw_3,6,0,0.9741613864898682,0.9782268404960632,0.004065454006195068,True,True
pythia-410m,very_high,draw_3,7,8,0.8670815229415894,0.8746731281280518,0.007591605186462402,True,True
pythia-410m,control,draw_1,9,9,0.27899032831192017,0.27199220657348633,-0.006998121738433838,True,True
pythia-410m,control,draw_1,2,10,0.6287500262260437,0.6441164612770081,0.015366435050964355,True,True
pythia-410m,control,draw_1,7,0,0.37263956665992737,0.3883278965950012,0.015688329935073853,True,True
pythia-410m,control,draw_1,1,4,0.5654751658439636,0.568831205368042,0.003356039524078369,True,True
pythia-410m,control,draw_1,9,8,0.6847774386405945,0.6705891489982605,-0.014188289642333984,True,True
pythia-410m,control,draw_1,0,5,0.6250032782554626,0.6250032782554626,0.0,True,True
pythia-410m,control,draw_1,6,0,0.9733714461326599,0.9724221229553223,-0.0009493231773376465,True,True
pythia-410m,control,draw_1,7,8,0.8609991073608398,0.8694448471069336,0.00844573974609375,True,True
pythia-410m,control,draw_2,9,9,0.2742401659488678,0.26187580823898315,-0.012364357709884644,True,True
pythia-410m,control,draw_2,2,10,0.6296634674072266,0.6424280405044556,0.012764573097229004,True,True
pythia-410m,control,draw_2,7,0,0.3664442002773285,0.3685402572154999,0.0020960569381713867,True,True
pythia-410m,control,draw_2,1,4,0.5657890439033508,0.5673149824142456,0.0015259385108947754,True,True
pythia-410m,control,draw_2,9,8,0.6751282811164856,0.6617949604988098,-0.013333320617675781,True,True
pythia-410m,control,draw_2,0,5,0.623163640499115,0.623163640499115,0.0,True,True
pythia-410m,control,draw_2,6,0,0.9752734303474426,0.9777395725250244,0.002466142177581787,True,True
pythia-410m,control,draw_2,7,8,0.8629988431930542,0.8726999163627625,0.009701073169708252,True,True
pythia-410m,control,draw_3,9,9,0.2970069646835327,0.2969749867916107,-3.197789192199707e-05,True,True
pythia-410m,control,draw_3,2,10,0.6332958936691284,0.6586152911186218,0.025319397449493408,True,True
pythia-410m,control,draw_3,7,0,0.3614340126514435,0.3624995946884155,0.001065582036972046,True,True
pythia-410m,control,draw_3,1,4,0.5771581530570984,0.5866042971611023,0.009446144104003906,True,True
pythia-410m,control,draw_3,9,8,0.692919909954071,0.6797125935554504,-0.013207316398620605,True,True
pythia-410m,control,draw_3,0,5,0.6297354698181152,0.6297354698181152,0.0,True,True
pythia-410m,control,draw_3,6,0,0.977587103843689,0.9810938835144043,0.003506779670715332,True,True
pythia-410m,control,draw_3,7,8,0.8670818209648132,0.889238715171814,0.022156894207000732,True,True
pythia-1b,low,draw_1,4,3,0.6768743395805359,0.7016662359237671,0.0247918963432312,True,True
pythia-1b,low,draw_1,5,1,0.9443062543869019,0.9422014951705933,-0.0021047592163085938,True,True
pythia-1b,low,draw_1,1,7,0.8622701168060303,0.8593568205833435,-0.0029132962226867676,True,True
pythia-1b,low,draw_1,10,6,0.23049001395702362,0.22645047307014465,-0.004039540886878967,True,True
pythia-1b,low,draw_2,4,3,0.689480721950531,0.706287145614624,0.016806423664093018,True,True
pythia-1b,low,draw_2,5,1,0.9357291460037231,0.9377745389938354,0.0020453929901123047,True,True
pythia-1b,low,draw_2,1,7,0.8648257255554199,0.8617753982543945,-0.0030503273010253906,True,True
pythia-1b,low,draw_2,10,6,0.265645831823349,0.24797332286834717,-0.01767250895500183,True,True
pythia-1b,low,draw_3,4,3,0.6724110245704651,0.6880642175674438,0.01565319299697876,True,True
pythia-1b,low,draw_3,5,1,0.9350025653839111,0.9397180080413818,0.004715442657470703,True,True
pythia-1b,low,draw_3,1,7,0.868487536907196,0.867466926574707,-0.0010206103324890137,True,True
pythia-1b,low,draw_3,10,6,0.24305090308189392,0.23073133826255798,-0.012319564819335938,True,True
pythia-1b,medium,draw_1,4,3,0.6825321316719055,0.7080770134925842,0.02554488182067871,True,True
pythia-1b,medium,draw_1,5,1,0.9226287603378296,0.928515613079071,0.005886852741241455,True,True
pythia-1b,medium,draw_1,1,7,0.8591946959495544,0.8547296524047852,-0.004465043544769287,True,True
pythia-1b,medium,draw_1,10,6,0.21984560787677765,0.2221982181072235,0.002352610230445862,True,True
pythia-1b,medium,draw_2,4,3,0.6888760328292847,0.6982397437095642,0.009363710880279541,True,True
pythia-1b,medium,draw_2,5,1,0.9314411282539368,0.9303516745567322,-0.0010894536972045898,True,True
pythia-1b,medium,draw_2,1,7,0.863075852394104,0.8614904880523682,-0.0015853643417358398,True,True
pythia-1b,medium,draw_2,10,6,0.22745703160762787,0.22997473180294037,0.0025177001953125,True,True
pythia-1b,medium,draw_3,4,3,0.6823975443840027,0.7100895643234253,0.027692019939422607,True,True
pythia-1b,medium,draw_3,5,1,0.9324970245361328,0.9342578053474426,0.0017607808113098145,True,True
pythia-1b,medium,draw_3,1,7,0.8564450144767761,0.8559181690216064,-0.0005268454551696777,True,True
pythia-1b,medium,draw_3,10,6,0.2399195283651352,0.22208702564239502,-0.017832502722740173,True,True
pythia-1b,high,draw_1,4,3,0.640972375869751,0.6764383912086487,0.035466015338897705,True,True
pythia-1b,high,draw_1,5,1,0.898594856262207,0.9028136730194092,0.0042188167572021484,True,True
pythia-1b,high,draw_1,1,7,0.8179380297660828,0.8179777264595032,3.9696693420410156e-05,True,True
pythia-1b,high,draw_1,10,6,0.19735029339790344,0.20156677067279816,0.004216477274894714,True,True
pythia-1b,high,draw_2,4,3,0.640598714351654,0.6656419038772583,0.025043189525604248,True,True
pythia-1b,high,draw_2,5,1,0.908266544342041,0.9089287519454956,0.0006622076034545898,True,True
pythia-1b,high,draw_2,1,7,0.8223854303359985,0.8169471025466919,-0.005438327789306641,True,True
pythia-1b,high,draw_2,10,6,0.22069178521633148,0.22296495735645294,0.00227317214012146,True,True
pythia-1b,high,draw_3,4,3,0.6498289704322815,0.6632896661758423,0.013460695743560791,True,True
pythia-1b,high,draw_3,5,1,0.9012653231620789,0.9087828993797302,0.007517576217651367,True,True
pythia-1b,high,draw_3,1,7,0.8209874629974365,0.8232285976409912,0.0022411346435546875,True,True
pythia-1b,high,draw_3,10,6,0.204655259847641,0.20143628120422363,-0.0032189786434173584,True,True
pythia-1b,very_high,draw_1,4,3,0.6167623996734619,0.6578453779220581,0.04108297824859619,True,True
pythia-1b,very_high,draw_1,5,1,0.868748664855957,0.8639354109764099,-0.004813253879547119,True,True
pythia-1b,very_high,draw_1,1,7,0.775168240070343,0.766374945640564,-0.008793294429779053,True,True
pythia-1b,very_high,draw_1,10,6,0.1636909693479538,0.16855326294898987,0.004862293601036072,True,True
pythia-1b,very_high,draw_2,4,3,0.6070935130119324,0.6568855047225952,0.04979199171066284,True,True
