model,draw,band,layer,head,entropy_mean,entropy_std,entropy_median
pythia-1b,draw_1,very_high,7,6,2.216841697692871,0.6431583166122437,2.330139636993408
pythia-1b,draw_1,very_high,7,7,3.8564493656158447,0.19287936389446259,3.8860583305358887
pythia-1b,draw_1,very_high,8,0,1.5747313499450684,0.7300173044204712,1.4492594003677368
pythia-1b,draw_1,very_high,8,1,3.3318896293640137,0.38915690779685974,3.3860273361206055
pythia-1b,draw_1,very_high,8,2,3.2373909950256348,0.3298586308956146,3.2683725357055664
pythia-1b,draw_1,very_high,8,3,2.1732101440429688,0.6011240482330322,2.149225950241089
pythia-1b,draw_1,very_high,8,4,1.9457359313964844,0.6288105249404907,1.8858882188796997
pythia-1b,draw_1,very_high,8,5,2.532890558242798,0.593083918094635,2.6099259853363037
pythia-1b,draw_1,very_high,8,6,2.110501766204834,0.6525101065635681,2.1371641159057617
pythia-1b,draw_1,very_high,8,7,2.5851492881774902,0.4404989778995514,2.6147916316986084
pythia-1b,draw_1,very_high,9,0,3.1119651794433594,0.49434512853622437,3.203688383102417
pythia-1b,draw_1,very_high,9,1,1.8828352689743042,0.544389545917511,1.882953405380249
pythia-1b,draw_1,very_high,9,2,2.901773452758789,0.40582460165023804,2.9402434825897217
pythia-1b,draw_1,very_high,9,3,2.02392315864563,0.6761537790298462,1.9738452434539795
pythia-1b,draw_1,very_high,9,4,3.074525833129883,0.44145622849464417,3.1395223140716553
pythia-1b,draw_1,very_high,9,5,2.878211736679077,0.5057983994483948,2.8924124240875244
pythia-1b,draw_1,very_high,9,6,2.5340962409973145,0.5250186324119568,2.5986948013305664
pythia-1b,draw_1,very_high,9,7,2.6219546794891357,0.6168105006217957,2.6598258018493652
pythia-1b,draw_1,very_high,10,0,2.7746169567108154,0.7044241428375244,2.9082887172698975
pythia-1b,draw_1,very_high,10,1,2.7521474361419678,0.3395288586616516,2.800727605819702
pythia-1b,draw_1,very_high,10,2,2.5336673259735107,0.6011059880256653,2.5374362468719482
pythia-1b,draw_1,very_high,10,3,1.6911475658416748,0.43048450350761414,1.688920021057129
pythia-1b,draw_1,very_high,10,4,1.1990329027175903,0.586737871170044,1.158417820930481
pythia-1b,draw_1,very_high,10,5,1.7181764841079712,0.7895607948303223,1.7931209802627563
pythia-1b,draw_1,very_high,10,6,1.841139554977417,0.6232007145881653,1.8580193519592285
pythia-1b,draw_1,very_high,10,7,2.5194191932678223,0.4773522615432739,2.575889825820923
pythia-1b,draw_1,very_high,11,0,2.6892356872558594,0.6503695845603943,2.703869104385376
pythia-1b,draw_1,very_high,11,1,1.716794729232788,0.5242753624916077,1.7142748832702637
