model,threshold_k,test_band,mean_acc,std_acc,mean_top5,mean_n_edges,base_acc,full_circuit_acc,universal_acc,recovery,edge_fraction
pythia-1b,5,very_high,0.5111111111111111,0.0581186525805423,0.677037037037037,356.0,0.9911111111111112,0.9362962962962964,0.5111111111111111,0.545886075949367,0.3891277417474313
pythia-410m,1,control,0.9822222222222222,0.004444444444444473,0.9985185185185186,7204.0,0.9896296296296296,0.9688888888888888,0.5466666666666667,1.0137614678899083,2.0116162180274766
pythia-410m,1,high,0.9866666666666667,0.0,0.9985185185185186,7204.0,0.9925925925925926,0.9674074074074074,0.6088888888888889,1.0199081163859112,2.0116162180274766
pythia-410m,1,low,0.9614814814814815,0.020528009571186705,0.997037037037037,7204.0,0.9822222222222222,0.9466666666666668,0.3585185185185185,1.0156494522691706,2.0116162180274766
pythia-410m,1,medium,0.9851851851851853,0.006789001029564254,1.0,7204.0,0.9866666666666668,0.9748148148148148,0.4918518518518518,1.0106382978723405,2.0116162180274766
pythia-410m,1,very_high,0.9837037037037036,0.016826395098667485,0.9955555555555556,7204.0,0.991111111111111,0.9629629629629628,0.5644444444444444,1.0215384615384617,2.0116162180274766
pythia-410m,2,control,0.9837037037037036,0.011184939904104735,1.0,4412.0,0.9896296296296296,0.9688888888888888,0.5466666666666667,1.0152905198776758,1.2319892773372052
pythia-410m,2,high,0.9837037037037036,0.005132002392796698,0.9985185185185186,4412.0,0.9925925925925926,0.9674074074074074,0.6088888888888889,1.0168453292496171,1.2319892773372052
pythia-410m,2,low,0.96,0.023517789431685244,0.994074074074074,4412.0,0.9822222222222222,0.9466666666666668,0.3585185185185185,1.0140845070422533,1.2319892773372052
pythia-410m,2,medium,0.9822222222222222,0.0,0.997037037037037,4412.0,0.9866666666666668,0.9748148148148148,0.4918518518518518,1.0075987841945289,1.2319892773372052
pythia-410m,2,very_high,0.9807407407407407,0.014286890016285896,0.9985185185185186,4412.0,0.991111111111111,0.9629629629629628,0.5644444444444444,1.0184615384615385,1.2319892773372052
pythia-410m,3,control,0.9762962962962963,0.009251848886516121,0.997037037037037,2976.0,0.9896296296296296,0.9688888888888888,0.5466666666666667,1.0076452599388381,0.8310063665810342
pythia-410m,3,high,0.9762962962962963,0.009251848886516143,0.9955555555555556,2976.0,0.9925925925925926,0.9674074074074074,0.6088888888888889,1.0091883614088821,0.8310063665810342
pythia-410m,3,low,0.9333333333333332,0.02351778943168527,0.9925925925925926,2976.0,0.9822222222222222,0.9466666666666668,0.3585185185185185,0.9859154929577463,0.8310063665810342
pythia-410m,3,medium,0.9792592592592593,0.009251848886516143,0.9955555555555554,2976.0,0.9866666666666668,0.9748148148148148,0.4918518518518518,1.0045592705167175,0.8310063665810342
pythia-410m,3,very_high,0.9674074074074074,0.009251848886516175,0.994074074074074,2976.0,0.991111111111111,0.9629629629629628,0.5644444444444444,1.0046153846153847,0.8310063665810342
pythia-410m,4,control,0.9288888888888889,0.03637934565276646,0.9866666666666667,2011.3333333333333,0.9896296296296296,0.9688888888888888,0.5466666666666667,0.9587155963302753,0.561636695334897
pythia-410m,4,high,0.9481481481481482,0.024478091321271548,0.9911111111111112,2011.3333333333333,0.9925925925925926,0.9674074074074074,0.6088888888888889,0.9800918836140888,0.561636695334897
pythia-410m,4,low,0.8074074074074075,0.06686390575642526,0.9407407407407407,2011.3333333333333,0.9822222222222222,0.9466666666666668,0.3585185185185185,0.8528951486697965,0.561636695334897
pythia-410m,4,medium,0.9125925925925925,0.057320124806379553,0.9762962962962963,2011.3333333333333,0.9866666666666668,0.9748148148148148,0.4918518518518518,0.9361702127659574,0.561636695334897
pythia-410m,4,very_high,0.9303703703703704,0.005132002392796722,0.9777777777777779,2011.3333333333333,0.991111111111111,0.9629629629629628,0.5644444444444444,0.9661538461538464,0.561636695334897
