model,draw,band,layer,mean_kl,median_kl,std_kl
pythia-410m,draw_1,low,11,6.104044437408447,6.0920186042785645,1.6291513442993164
pythia-410m,draw_1,low,12,5.896516799926758,5.837852954864502,1.5455607175827026
pythia-410m,draw_1,low,13,5.604403018951416,5.538342475891113,1.4976836442947388
pythia-410m,draw_1,low,14,5.311806678771973,5.17597770690918,1.510606050491333
pythia-410m,draw_1,low,15,4.8998918533325195,4.80081844329834,1.5838053226470947
pythia-410m,draw_1,low,16,2.961648464202881,2.6803860664367676,1.560800552368164
pythia-410m,draw_1,low,17,1.9703314304351807,1.5854582786560059,1.2857075929641724
pythia-410m,draw_1,low,18,1.4348376989364624,1.2476272583007812,0.9422986507415771
pythia-410m,draw_1,low,19,1.9130374193191528,1.62848699092865,1.0134546756744385
pythia-410m,draw_1,low,20,2.0055525302886963,1.8277974128723145,0.9821435213088989
pythia-410m,draw_1,low,21,0.9840884804725647,0.8183603286743164,0.5948805809020996
pythia-410m,draw_1,low,22,0.33687570691108704,0.2956455945968628,0.233282208442688
pythia-410m,draw_1,low,23,0.0,0.0,0.0
pythia-410m,draw_1,medium,0,10.398225784301758,10.061808586120605,2.850552558898926
pythia-410m,draw_1,medium,1,10.20234203338623,9.931806564331055,2.8293540477752686
pythia-410m,draw_1,medium,2,10.080338478088379,9.87990951538086,2.780313491821289
pythia-410m,draw_1,medium,3,9.966039657592773,9.988222122192383,2.6903843879699707
pythia-410m,draw_1,medium,4,9.984620094299316,10.032483100891113,2.6970551013946533
pythia-410m,draw_1,medium,5,10.275498390197754,10.200044631958008,2.977928400039673
pythia-410m,draw_1,medium,6,9.794329643249512,9.814827919006348,2.860490083694458
pythia-410m,draw_1,medium,7,9.346457481384277,9.45718002319336,2.6773762702941895
pythia-410m,draw_1,medium,8,9.31735610961914,9.216545104980469,2.563434600830078
pythia-410m,draw_1,medium,9,9.010610580444336,8.903606414794922,2.5729432106018066
pythia-410m,draw_1,medium,10,7.417620658874512,7.120830535888672,2.1364338397979736
pythia-410m,draw_1,medium,11,5.548153400421143,5.521364212036133,1.5168964862823486
pythia-410m,draw_1,medium,12,5.551811695098877,5.441215991973877,1.5344252586364746
pythia-410m,draw_1,medium,13,5.363212585449219,5.081296920776367,1.539736032485962
pythia-410m,draw_1,medium,14,5.151698589324951,4.964162349700928,1.530165195465088
pythia-410m,draw_1,medium,15,4.487158298492432,4.259708404541016,1.487281322479248
pythia-410m,draw_1,medium,16,2.442852258682251,2.1188464164733887,1.4922174215316772
pythia-410m,draw_1,medium,17,1.8508192300796509,1.5522027015686035,1.1987308263778687
pythia-410m,draw_1,medium,18,1.1791430711746216,1.0520954132080078,0.7061129212379456
