model,draw,band,layer,mean_rank,median_rank,frac_top1,frac_top5
pythia-160m,draw_2,low,8,350.1822222222222,28.0,0.14222222222222222,0.29333333333333333
pythia-160m,draw_2,low,9,36.8,1.0,0.4266666666666667,0.6711111111111111
pythia-160m,draw_2,low,10,4.355555555555555,0.0,0.6755555555555556,0.9244444444444444
pythia-160m,draw_2,low,11,0.22666666666666666,0.0,0.9333333333333333,0.9955555555555555
pythia-160m,draw_2,medium,0,13053.826666666666,9819.0,0.0,0.0
pythia-160m,draw_2,medium,1,12287.204444444444,9350.0,0.0,0.0
pythia-160m,draw_2,medium,2,12346.182222222222,9676.0,0.0,0.0
pythia-160m,draw_2,medium,3,15395.977777777778,13088.0,0.0,0.0
pythia-160m,draw_2,medium,4,5821.551111111111,2631.0,0.0,0.0044444444444444444
pythia-160m,draw_2,medium,5,1214.9288888888889,157.0,0.044444444444444446,0.10222222222222223
pythia-160m,draw_2,medium,6,1435.5466666666666,262.0,0.02666666666666667,0.09333333333333334
pythia-160m,draw_2,medium,7,1115.28,271.0,0.035555555555555556,0.08888888888888889
pythia-160m,draw_2,medium,8,223.13333333333333,6.0,0.26222222222222225,0.44
pythia-160m,draw_2,medium,9,17.137777777777778,0.0,0.5866666666666667,0.8355555555555556
pythia-160m,draw_2,medium,10,2.488888888888889,0.0,0.7866666666666666,0.96
pythia-160m,draw_2,medium,11,0.04,0.0,0.96,1.0
pythia-160m,draw_2,high,0,11669.977777777778,8986.0,0.0,0.0
pythia-160m,draw_2,high,1,11062.546666666667,8241.0,0.0,0.0
pythia-160m,draw_2,high,2,11148.106666666667,8885.0,0.0,0.0
pythia-160m,draw_2,high,3,11941.462222222222,8931.0,0.0,0.0
pythia-160m,draw_2,high,4,3332.688888888889,1478.0,0.0044444444444444444,0.013333333333333334
pythia-160m,draw_2,high,5,652.2844444444445,122.0,0.07111111111111111,0.14666666666666667
pythia-160m,draw_2,high,6,860.4933333333333,150.0,0.04888888888888889,0.1288888888888889
pythia-160m,draw_2,high,7,604.2133333333334,117.0,0.07555555555555556,0.13333333333333333
pythia-160m,draw_2,high,8,102.76,5.0,0.30666666666666664,0.48444444444444446
pythia-160m,draw_2,high,9,19.764444444444443,0.0,0.6577777777777778,0.8355555555555556
pythia-160m,draw_2,high,10,1.6444444444444444,0.0,0.8222222222222222,0.92
pythia-160m,draw_2,high,11,0.05333333333333334,0.0,0.96,1.0
pythia-160m,draw_2,very_high,0,10363.084444444445,7631.0,0.0,0.0044444444444444444
pythia-160m,draw_2,very_high,1,8941.031111111111,6022.0,0.0,0.0044444444444444444
pythia-160m,draw_2,very_high,2,8642.902222222223,6065.0,0.0,0.0044444444444444444
