model,band,draw,threshold,n_edges,total_edges,size_fraction,base_accuracy,base_top5_accuracy,base_top10_accuracy,base_mean_correct_prob,circuit_accuracy,circuit_top5_accuracy,circuit_top10_accuracy,circuit_mean_correct_prob,circuit_kl_div,ablation_accuracy,ablation_top5_accuracy,ablation_top10_accuracy,ablation_mean_correct_prob,ablation_kl_div,retention_ratio,completeness,top1_top5_gap,frequency_rank,necessity_pass,training_time_seconds
pythia-410m,control,draw_2,0.000251,3317,80581,0.04116354972015736,0.9911111111111112,1.0,1.0,0.5203929616842005,0.9644444444444444,0.9955555555555555,0.9955555555555555,0.4164749483940088,0.33078327775001526,0.0044444444444444444,0.0044444444444444444,0.0044444444444444444,0.0008569734580952274,4.131669521331787,0.9730941704035874,0.9955555555555555,0.03111111111111109,,True,33318.885127067566
pythia-410m,control,draw_3,0.000251,3382,80581,0.04197019148434494,0.9866666666666667,1.0,1.0,0.5480385847058561,0.9777777777777777,0.9911111111111112,0.9955555555555555,0.46962013725657015,0.2991999685764313,0.0,0.0,0.0044444444444444444,0.0008221848884583475,4.186805248260498,0.990990990990991,1.0,0.01333333333333342,,True,33308.161194086075
pythia-1b,low,draw_1,0.00158,972,10009,0.09711259866120492,0.9733333333333334,0.9911111111111112,1.0,0.6486520578339696,0.8577777777777778,0.9733333333333334,0.9733333333333334,0.4549414214315928,0.6977086067199707,0.0,0.0,0.0,6.668400106949295e-05,6.84472131729126,0.8812785388127853,1.0,0.11555555555555563,1.0,True,5247.774793148041
pythia-1b,low,draw_2,0.00158,952,10009,0.0951143970426616,0.9777777777777777,0.9911111111111112,0.9955555555555555,0.6964178396290582,0.9377777777777778,0.9911111111111112,0.9911111111111112,0.5660179208369098,0.5552815794944763,0.0,0.0,0.0,7.474337194758441e-05,7.303653240203857,0.9590909090909092,1.0,0.053333333333333344,1.0,True,5246.937960147858
pythia-1b,low,draw_3,0.00158,978,10009,0.09771205914676791,0.9777777777777777,0.9911111111111112,1.0,0.6642585176891751,0.92,0.9866666666666667,0.9911111111111112,0.5748797462160473,0.6099830865859985,0.0,0.0,0.0,6.830447111174939e-05,6.971181392669678,0.940909090909091,1.0,0.06666666666666665,1.0,True,4047.6318802833557
pythia-1b,medium,draw_1,0.00158,904,10009,0.09031871315815766,0.9955555555555555,0.9955555555555555,0.9955555555555555,0.7119618662158609,0.9466666666666667,0.9866666666666667,0.9911111111111112,0.5310646339873266,0.5399011373519897,0.0,0.0,0.0,0.00013141397099906903,6.879176139831543,0.9508928571428572,1.0,0.040000000000000036,2.0,True,5220.158110618591
pythia-1b,medium,draw_2,0.00158,1007,10009,0.10060945149365572,0.9777777777777777,1.0,1.0,0.6889884225403269,0.9288888888888889,0.9911111111111112,0.9955555555555555,0.5734435796209921,0.5246813893318176,0.0,0.0,0.0,0.00014331062697105305,6.736072063446045,0.9500000000000001,1.0,0.06222222222222229,2.0,True,5210.084692239761
pythia-1b,medium,draw_3,0.00158,900,10009,0.089919072834449,0.9955555555555555,1.0,1.0,0.6768700501653884,0.9288888888888889,0.9866666666666667,0.9866666666666667,0.531962511018436,0.5699511170387268,0.0,0.0,0.0,0.000145283489004113,6.535181999206543,0.9330357142857143,1.0,0.05777777777777782,2.0,True,4048.4995052814484
pythia-1b,high,draw_1,0.00158,1002,10009,0.10010990108901988,0.9822222222222222,1.0,1.0,0.6321504560361306,0.9155555555555556,0.9866666666666667,0.9911111111111112,0.49966870501016575,0.5099473595619202,0.0,0.0,0.0,0.00042907179384933945,5.346421241760254,0.9321266968325792,1.0,0.07111111111111112,3.0,True,5209.573364496231
pythia-1b,high,draw_2,0.00158,902,10009,0.09011889299630332,1.0,1.0,1.0,0.6756125281751156,0.9422222222222222,0.9822222222222222,0.9866666666666667,0.569808676761782,0.44052353501319885,0.0,0.0,0.0044444444444444444,0.0004116224115523437,5.676985740661621,0.9422222222222222,1.0,0.040000000000000036,3.0,True,5245.832614660263
