model,train_band,draw,test_band,same_band,n_examples,accuracy,mean_correct_prob,std_correct_prob,median_correct_prob
pythia-410m,very_high,draw_2,high,False,225,0.9644444444444444,0.41003863975198734,0.2530734962273015,0.3935200870037079
pythia-410m,very_high,draw_2,very_high,True,225,0.9555555555555556,0.4386459288187325,0.2657002456670285,0.4140183627605438
pythia-410m,very_high,draw_2,control,False,225,0.9644444444444444,0.4358066815117167,0.2579296422585918,0.4113897979259491
pythia-410m,very_high,draw_3,low,False,225,0.8355555555555556,0.2382487023414837,0.23197046721803516,0.16463682055473328
pythia-410m,very_high,draw_3,medium,False,225,0.8844444444444445,0.28028393164432297,0.23926519672835048,0.2211228460073471
pythia-410m,very_high,draw_3,high,False,225,0.9822222222222222,0.3752889288485878,0.23992366786356617,0.35354870557785034
pythia-410m,very_high,draw_3,very_high,True,225,0.9777777777777777,0.4189094815279047,0.24575399621177815,0.41787955164909363
pythia-410m,very_high,draw_3,control,False,225,0.9822222222222222,0.4261659826245159,0.2449383699889238,0.40499547123908997
pythia-410m,control,draw_1,low,False,225,0.8711111111111111,0.2320614217101441,0.2317913065020726,0.1569591611623764
pythia-410m,control,draw_1,medium,False,225,0.9644444444444444,0.3758053949019975,0.24198297259372023,0.3320824205875397
pythia-410m,control,draw_1,high,False,225,0.9688888888888889,0.4756479499054452,0.26989154653056696,0.5095488429069519
pythia-410m,control,draw_1,very_high,False,225,0.9555555555555556,0.4521253538086441,0.2658139627738162,0.45117682218551636
pythia-410m,control,draw_1,control,True,225,0.9644444444444444,0.4094603432963292,0.2405045908085161,0.39699187874794006
pythia-410m,control,draw_2,low,False,225,0.8977777777777778,0.258349209588228,0.253935391387904,0.16184119880199432
pythia-410m,control,draw_2,medium,False,225,0.9511111111111111,0.35438005007079076,0.25443768391890986,0.3052138090133667
pythia-410m,control,draw_2,high,False,225,0.9555555555555556,0.39783398299012335,0.2530361661141093,0.3656623065471649
pythia-410m,control,draw_2,very_high,False,225,0.9466666666666667,0.3813381201090912,0.2563081386406731,0.33488649129867554
pythia-410m,control,draw_2,control,True,225,0.9644444444444444,0.41647790932613943,0.25574565354882783,0.3835434317588806
pythia-410m,control,draw_3,low,False,225,0.9244444444444444,0.2743472300671662,0.23856879084575314,0.21253937482833862
pythia-410m,control,draw_3,medium,False,225,0.9377777777777778,0.33444599922022056,0.2533118486111794,0.27076151967048645
