node,node_type,layer,in_degree,out_degree,total_degree,model,band,draw
A4.0,attn,4,1,1,2,pythia-70m,medium,draw_1
A0.3,attn,0,1,24,25,pythia-70m,medium,draw_2
A3.0,attn,3,11,4,15,pythia-70m,medium,draw_2
A0.7,attn,0,1,16,17,pythia-70m,medium,draw_2
M0,mlp,0,1,33,34,pythia-70m,medium,draw_2
A1.1,attn,1,4,14,18,pythia-70m,medium,draw_2
A1.3,attn,1,6,14,20,pythia-70m,medium,draw_2
M1,mlp,1,10,27,37,pythia-70m,medium,draw_2
A2.0,attn,2,3,6,9,pythia-70m,medium,draw_2
A2.1,attn,2,5,15,20,pythia-70m,medium,draw_2
A2.4,attn,2,7,8,15,pythia-70m,medium,draw_2
A2.7,attn,2,9,9,18,pythia-70m,medium,draw_2
M2,mlp,2,13,18,31,pythia-70m,medium,draw_2
embed,embed,-1,0,17,17,pythia-70m,medium,draw_2
A3.1,attn,3,20,6,26,pythia-70m,medium,draw_2
A0.0,attn,0,1,8,9,pythia-70m,medium,draw_2
A0.1,attn,0,1,13,14,pythia-70m,medium,draw_2
A0.4,attn,0,1,11,12,pythia-70m,medium,draw_2
A0.5,attn,0,1,16,17,pythia-70m,medium,draw_2
A1.2,attn,1,5,12,17,pythia-70m,medium,draw_2
A2.2,attn,2,4,7,11,pythia-70m,medium,draw_2
A2.3,attn,2,5,7,12,pythia-70m,medium,draw_2
A2.5,attn,2,3,5,8,pythia-70m,medium,draw_2
A2.6,attn,2,8,11,19,pythia-70m,medium,draw_2
A3.2,attn,3,3,2,5,pythia-70m,medium,draw_2
A3.3,attn,3,22,3,25,pythia-70m,medium,draw_2
A0.2,attn,0,1,8,9,pythia-70m,medium,draw_2
A1.6,attn,1,1,5,6,pythia-70m,medium,draw_2
A3.4,attn,3,9,7,16,pythia-70m,medium,draw_2
A3.5,attn,3,12,4,16,pythia-70m,medium,draw_2
A3.6,attn,3,12,7,19,pythia-70m,medium,draw_2
A3.7,attn,3,1,3,4,pythia-70m,medium,draw_2
R5,resid,5,50,0,50,pythia-70m,medium,draw_2
A0.6,attn,0,1,4,5,pythia-70m,medium,draw_2
A1.0,attn,1,1,5,6,pythia-70m,medium,draw_2
A1.5,attn,1,0,4,4,pythia-70m,medium,draw_2
A1.7,attn,1,0,1,1,pythia-70m,medium,draw_2
M3,mlp,3,26,11,37,pythia-70m,medium,draw_2
A4.0,attn,4,0,2,2,pythia-70m,medium,draw_2
A4.2,attn,4,6,2,8,pythia-70m,medium,draw_2
A4.4,attn,4,7,2,9,pythia-70m,medium,draw_2
A4.5,attn,4,3,2,5,pythia-70m,medium,draw_2
A4.6,attn,4,3,2,5,pythia-70m,medium,draw_2
A4.7,attn,4,8,2,10,pythia-70m,medium,draw_2
M4,mlp,4,34,7,41,pythia-70m,medium,draw_2
A5.0,attn,5,6,1,7,pythia-70m,medium,draw_2
A5.1,attn,5,1,1,2,pythia-70m,medium,draw_2
A5.2,attn,5,6,1,7,pythia-70m,medium,draw_2
A5.3,attn,5,9,1,10,pythia-70m,medium,draw_2
A5.5,attn,5,1,1,2,pythia-70m,medium,draw_2
A5.7,attn,5,7,1,8,pythia-70m,medium,draw_2
M5,mlp,5,42,1,43,pythia-70m,medium,draw_2
A1.4,attn,1,0,1,1,pythia-70m,medium,draw_2
embed,embed,-1,0,19,19,pythia-70m,medium,draw_3
R5,resid,5,52,0,52,pythia-70m,medium,draw_3
A0.0,attn,0,1,8,9,pythia-70m,medium,draw_3
A0.1,attn,0,1,13,14,pythia-70m,medium,draw_3
A0.2,attn,0,1,9,10,pythia-70m,medium,draw_3
A0.3,attn,0,1,22,23,pythia-70m,medium,draw_3
A0.4,attn,0,1,14,15,pythia-70m,medium,draw_3
A0.5,attn,0,1,16,17,pythia-70m,medium,draw_3
A0.6,attn,0,1,2,3,pythia-70m,medium,draw_3
A0.7,attn,0,1,18,19,pythia-70m,medium,draw_3
M0,mlp,0,1,35,36,pythia-70m,medium,draw_3
A1.0,attn,1,1,5,6,pythia-70m,medium,draw_3
A1.1,attn,1,4,12,16,pythia-70m,medium,draw_3
A1.2,attn,1,4,13,17,pythia-70m,medium,draw_3
A1.3,attn,1,5,11,16,pythia-70m,medium,draw_3
A1.4,attn,1,0,2,2,pythia-70m,medium,draw_3
A1.5,attn,1,1,4,5,pythia-70m,medium,draw_3
A1.6,attn,1,1,7,8,pythia-70m,medium,draw_3
A1.7,attn,1,1,4,5,pythia-70m,medium,draw_3
M1,mlp,1,10,27,37,pythia-70m,medium,draw_3
A2.0,attn,2,6,5,11,pythia-70m,medium,draw_3
A2.1,attn,2,3,15,18,pythia-70m,medium,draw_3
A2.2,attn,2,4,8,12,pythia-70m,medium,draw_3
A2.3,attn,2,6,9,15,pythia-70m,medium,draw_3
A2.4,attn,2,6,9,15,pythia-70m,medium,draw_3
A2.5,attn,2,5,4,9,pythia-70m,medium,draw_3
A2.6,attn,2,7,11,18,pythia-70m,medium,draw_3
A2.7,attn,2,9,11,20,pythia-70m,medium,draw_3
