model,band,draw,layer,head,js_divergence
pythia-70m,high,draw_2,4,7,0.0
pythia-70m,high,draw_2,5,0,0.002401502663605925
pythia-70m,high,draw_2,5,1,0.0023561724010912996
pythia-70m,high,draw_2,5,2,0.0026045678417700286
pythia-70m,high,draw_2,5,3,0.0029905036923964
pythia-70m,high,draw_2,5,4,0.0022270048386959953
pythia-70m,high,draw_2,5,5,0.0018382813974309304
pythia-70m,high,draw_2,5,6,0.004848619784695889
pythia-70m,high,draw_2,5,7,0.0013865781766535302
pythia-70m,high,draw_3,0,0,0.0
pythia-70m,high,draw_3,0,1,0.0
pythia-70m,high,draw_3,0,2,0.0
pythia-70m,high,draw_3,0,3,0.0
pythia-70m,high,draw_3,0,4,0.0
pythia-70m,high,draw_3,0,5,0.0
pythia-70m,high,draw_3,0,6,0.0
pythia-70m,high,draw_3,0,7,0.0
pythia-70m,high,draw_3,1,0,0.0
pythia-70m,high,draw_3,1,1,0.0
pythia-70m,high,draw_3,1,2,0.0
pythia-70m,high,draw_3,1,3,0.0
pythia-70m,high,draw_3,1,4,0.0
pythia-70m,high,draw_3,1,5,0.0
pythia-70m,high,draw_3,1,6,0.0
pythia-70m,high,draw_3,1,7,0.0
pythia-70m,high,draw_3,2,0,0.005458221294779201
pythia-70m,high,draw_3,2,1,0.00045120386969047524
pythia-70m,high,draw_3,2,2,0.002189852208773743
pythia-70m,high,draw_3,2,3,0.001492470750119991
pythia-70m,high,draw_3,2,4,0.003311394537934393
pythia-70m,high,draw_3,2,5,0.004644587784937202
pythia-70m,high,draw_3,2,6,0.009807576283731677
pythia-70m,high,draw_3,2,7,0.0038114953908687404
pythia-70m,high,draw_3,3,0,0.00995430176023787
pythia-70m,high,draw_3,3,1,0.010290637106213904
pythia-70m,high,draw_3,3,2,0.003780185029243396
pythia-70m,high,draw_3,3,3,0.008787672856860083
pythia-70m,high,draw_3,3,4,0.001904429108662441
pythia-70m,high,draw_3,3,5,0.00824924027977699
pythia-70m,high,draw_3,3,6,0.0023412904524871036
pythia-70m,high,draw_3,3,7,0.0019401645547660739
pythia-70m,high,draw_3,4,0,0.01407366576730959
pythia-70m,high,draw_3,4,1,0.01021265811871171
pythia-70m,high,draw_3,4,2,0.019216073932215718
pythia-70m,high,draw_3,4,3,0.03575856929069467
pythia-70m,high,draw_3,4,4,0.010747783460444459
pythia-70m,high,draw_3,4,5,0.01669664363079633
pythia-70m,high,draw_3,4,6,0.017997917960331882
pythia-70m,high,draw_3,4,7,0.018941259196350382
pythia-70m,high,draw_3,5,0,0.017294921985391436
pythia-70m,high,draw_3,5,1,0.01484424533770421
pythia-70m,high,draw_3,5,2,0.020187917112501123
pythia-70m,high,draw_3,5,3,0.01972591427408391
pythia-70m,high,draw_3,5,4,0.01955709684316604
pythia-70m,high,draw_3,5,5,0.010390918155483845
pythia-70m,high,draw_3,5,6,0.027880107406857486
pythia-70m,high,draw_3,5,7,0.01251482122140499
pythia-70m,very_high,draw_1,0,0,0.0
pythia-70m,very_high,draw_1,0,1,0.0
pythia-70m,very_high,draw_1,0,2,0.0
pythia-70m,very_high,draw_1,0,3,0.0
pythia-70m,very_high,draw_1,0,4,0.0
pythia-70m,very_high,draw_1,0,5,0.0
pythia-70m,very_high,draw_1,0,6,0.0
pythia-70m,very_high,draw_1,0,7,0.0
pythia-70m,very_high,draw_1,1,0,0.0
pythia-70m,very_high,draw_1,1,1,0.0
pythia-70m,very_high,draw_1,1,2,0.0
pythia-70m,very_high,draw_1,1,3,0.0
pythia-70m,very_high,draw_1,1,4,0.0
pythia-70m,very_high,draw_1,1,5,0.0
pythia-70m,very_high,draw_1,1,6,0.0
pythia-70m,very_high,draw_1,1,7,0.0
pythia-70m,very_high,draw_1,2,0,0.0
pythia-70m,very_high,draw_1,2,1,0.0
pythia-70m,very_high,draw_1,2,2,0.0
pythia-70m,very_high,draw_1,2,3,0.0
pythia-70m,very_high,draw_1,2,4,0.0
pythia-70m,very_high,draw_1,2,5,0.0
pythia-70m,very_high,draw_1,2,6,0.0
pythia-70m,very_high,draw_1,2,7,0.0
pythia-70m,very_high,draw_1,3,0,0.0
pythia-70m,very_high,draw_1,3,1,0.0
pythia-70m,very_high,draw_1,3,2,0.0
pythia-70m,very_high,draw_1,3,3,0.0
