model,draw,band,layer,head,entropy_base,entropy_circuit,delta_entropy
pythia-70m,draw_1,very_high,0,5,2.0182063579559326,2.0182063579559326,0.0
pythia-70m,draw_1,very_high,0,6,2.0897409915924072,2.0897409915924072,0.0
pythia-70m,draw_1,very_high,0,7,2.045947790145874,2.045947790145874,0.0
pythia-70m,draw_1,very_high,1,0,3.5244336128234863,3.5244336128234863,0.0
pythia-70m,draw_1,very_high,1,1,2.183803081512451,2.183803081512451,0.0
pythia-70m,draw_1,very_high,1,2,2.287463903427124,2.287463903427124,0.0
pythia-70m,draw_1,very_high,1,3,3.007974147796631,3.007974147796631,0.0
pythia-70m,draw_1,very_high,1,4,3.4777300357818604,3.4777300357818604,0.0
pythia-70m,draw_1,very_high,1,5,3.0997281074523926,3.0997281074523926,0.0
pythia-70m,draw_1,very_high,1,6,3.3903932571411133,3.3903932571411133,0.0
pythia-70m,draw_1,very_high,1,7,1.9538137912750244,1.9538137912750244,0.0
pythia-70m,draw_1,very_high,2,0,3.3964524269104004,3.3964524269104004,0.0
pythia-70m,draw_1,very_high,2,1,0.7713462114334106,0.7713462114334106,0.0
pythia-70m,draw_1,very_high,2,2,3.769478082656861,3.7694780826568604,-4.440892098500626e-16
pythia-70m,draw_1,very_high,2,3,3.2302114963531494,3.2302114963531494,0.0
pythia-70m,draw_1,very_high,2,4,2.0554404258728027,2.0554404258728027,0.0
pythia-70m,draw_1,very_high,2,5,3.8280088901519775,3.8280088901519775,0.0
pythia-70m,draw_1,very_high,2,6,1.3697421550750732,1.3697421550750732,0.0
pythia-70m,draw_1,very_high,2,7,2.755615711212158,2.755615711212158,0.0
pythia-70m,draw_1,very_high,3,0,1.7976336479187012,1.7976336479187012,0.0
pythia-70m,draw_1,very_high,3,1,0.7607070803642273,0.7607070803642273,0.0
pythia-70m,draw_1,very_high,3,2,3.9015862941741934,3.9015862941741943,8.881784197001252e-16
pythia-70m,draw_1,very_high,3,3,2.631366729736328,2.631366729736328,0.0
pythia-70m,draw_1,very_high,3,4,3.0093390941619877,3.0093390941619873,-4.440892098500626e-16
pythia-70m,draw_1,very_high,3,5,0.4711995422840118,0.47119954228401184,5.551115123125783e-17
pythia-70m,draw_1,very_high,3,6,0.2380366921424865,0.23803669214248657,8.326672684688674e-17
pythia-70m,draw_1,very_high,3,7,3.4991915225982666,3.4991915225982666,0.0
pythia-70m,draw_1,very_high,4,0,1.943299651145935,1.943299651145935,0.0
pythia-70m,draw_1,very_high,4,1,0.3772484064102173,0.3772484064102173,0.0
pythia-70m,draw_1,very_high,4,2,1.0387064218521118,1.0387064218521118,0.0
pythia-70m,draw_1,very_high,4,3,0.1973003447055816,0.19730034470558167,5.551115123125783e-17
pythia-70m,draw_1,very_high,4,4,0.3422533571720123,0.34225335717201233,5.551115123125783e-17
