model,draw,layer,attn_mi,mlp_mi,mlp_advantage
pythia-160m,draw_2,7,0.9600118151040968,0.5275933897221524,-0.4324184253819444
pythia-160m,draw_2,8,0.6713264026465555,0.6283395879141314,-0.04298681473242416
pythia-160m,draw_2,9,0.5436407392213347,0.4070199245886184,-0.1366208146327163
pythia-160m,draw_2,10,0.7279593143136814,0.454929444954789,-0.27302986935889245
pythia-160m,draw_2,11,0.7410585099999865,0.6184747750505719,-0.12258373494941455
pythia-160m,draw_3,0,0.8140013510869188,0.7581521481895466,-0.055849202897372274
pythia-160m,draw_3,1,0.8393518464133567,0.46298264774789866,-0.37636919866545804
pythia-160m,draw_3,2,0.9190129268295635,0.576910993802376,-0.3421019330271875
pythia-160m,draw_3,3,0.4585170933462114,0.6657544461061771,0.2072373527599657
pythia-160m,draw_3,4,0.7235290229154793,0.5500853630481202,-0.1734436598673591
pythia-160m,draw_3,5,0.8902163896127511,0.5485612395895024,-0.34165515002324864
pythia-160m,draw_3,6,1.012609266976849,0.4155300605442907,-0.5970792064325583
pythia-160m,draw_3,7,0.9725849847572853,0.4567704750971186,-0.5158145096601667
pythia-160m,draw_3,8,0.684677402649026,0.5362673319837785,-0.14841007066524747
pythia-160m,draw_3,9,0.5820244744379752,0.34653226151159994,-0.2354922129263753
pythia-160m,draw_3,10,0.7533712653516155,0.40824853072606515,-0.3451227346255503
pythia-160m,draw_3,11,0.7213528936613003,0.6011655685644821,-0.12018732509681818
pythia-410m,draw_1,0,0.8840872629498382,0.7797009078067104,-0.10438635514312777
pythia-410m,draw_1,1,1.0847911992370827,0.6095846442382018,-0.47520655499888087
pythia-410m,draw_1,2,1.2033550048363517,0.5132405250091051,-0.6901144798272466
pythia-410m,draw_1,3,0.8145501457639284,0.5944709545816413,-0.22007919118228703
pythia-410m,draw_1,4,1.1267637890593063,0.49110977476432416,-0.6356540142949821
pythia-410m,draw_1,5,0.3298074826228302,0.7309895876051252,0.401182104982295
pythia-410m,draw_1,6,0.8719605347985219,0.5111273466784522,-0.3608331881200697
pythia-410m,draw_1,7,0.7926836596047708,0.6479734756335623,-0.1447101839712085
pythia-410m,draw_1,8,0.7516096070854665,0.6766881598856948,-0.07492144719977178
pythia-410m,draw_1,9,0.6775519427470745,0.5432967583395688,-0.13425518440750572
pythia-410m,draw_1,10,0.8905245251206966,0.5864192477754795,-0.3041052773452171
pythia-410m,draw_1,11,0.5461994790909727,0.6590923885195361,0.11289290942856345
pythia-410m,draw_1,12,1.0256827387639986,0.6889461033585326,-0.33673663540546606
