model,draw,band_1,band_2,layer_name,layer_idx,cka
pythia-1b,draw_3,medium,control,final,15,0.20564099585788312
pythia-1b,draw_3,high,very_high,early,1,0.5504469820315675
pythia-1b,draw_3,high,very_high,middle,8,0.4592015830465778
pythia-1b,draw_3,high,very_high,final,15,0.20510027408213535
pythia-1b,draw_3,high,control,early,1,0.5686039095935722
pythia-1b,draw_3,high,control,middle,8,0.4683682969390986
pythia-1b,draw_3,high,control,final,15,0.2160947269241418
pythia-1b,draw_3,very_high,control,early,1,0.5827491873115996
pythia-1b,draw_3,very_high,control,middle,8,0.4707822487294286
pythia-1b,draw_3,very_high,control,final,15,0.19826162056720056
pythia-1.4b,draw_1,low,medium,early,1,0.5684643323073829
pythia-1.4b,draw_1,low,medium,middle,12,0.4342691282965101
pythia-1.4b,draw_1,low,medium,final,23,0.22631246664200114
pythia-1.4b,draw_1,low,high,early,1,0.5575290585255663
pythia-1.4b,draw_1,low,high,middle,12,0.42388142703804765
pythia-1.4b,draw_1,low,high,final,23,0.2214922561600561
pythia-1.4b,draw_1,low,very_high,early,1,0.5491943538083831
pythia-1.4b,draw_1,low,very_high,middle,12,0.3637505245801718
pythia-1.4b,draw_1,low,very_high,final,23,0.20649375161225786
pythia-1.4b,draw_1,low,control,early,1,0.574332671427088
pythia-1.4b,draw_1,low,control,middle,12,0.2295023599125612
pythia-1.4b,draw_1,low,control,final,23,0.2233096922046702
pythia-1.4b,draw_1,medium,high,early,1,0.5822355145757784
pythia-1.4b,draw_1,medium,high,middle,12,0.41500128566537803
pythia-1.4b,draw_1,medium,high,final,23,0.2145501346218521
pythia-1.4b,draw_1,medium,very_high,early,1,0.5674616410627903
pythia-1.4b,draw_1,medium,very_high,middle,12,0.34562384304576793
pythia-1.4b,draw_1,medium,very_high,final,23,0.2065349873270389
pythia-1.4b,draw_1,medium,control,early,1,0.5963699255172767
pythia-1.4b,draw_1,medium,control,middle,12,0.2232930602445504
pythia-1.4b,draw_1,medium,control,final,23,0.2014158184418161
pythia-1.4b,draw_1,high,very_high,early,1,0.5583842963822969
pythia-1.4b,draw_1,high,very_high,middle,12,0.3453456919389012
pythia-1.4b,draw_1,high,very_high,final,23,0.19235253821022305
pythia-1.4b,draw_1,high,control,early,1,0.5792991217707649
pythia-1.4b,draw_1,high,control,middle,12,0.2217592741751609
pythia-1.4b,draw_1,high,control,final,23,0.19029138579145394
pythia-1.4b,draw_1,very_high,control,early,1,0.5712512512046541
pythia-1.4b,draw_1,very_high,control,middle,12,0.18090964998801098
pythia-1.4b,draw_1,very_high,control,final,23,0.1879985135150769
pythia-1.4b,draw_2,low,medium,early,1,0.5556620674313629
pythia-1.4b,draw_2,low,medium,middle,12,0.43479773998373594
pythia-1.4b,draw_2,low,medium,final,23,0.2374277434025036
pythia-1.4b,draw_2,low,high,early,1,0.566125596502219
pythia-1.4b,draw_2,low,high,middle,12,0.3647867377278923
pythia-1.4b,draw_2,low,high,final,23,0.22736702057106364
pythia-1.4b,draw_2,low,very_high,early,1,0.5728649929584463
pythia-1.4b,draw_2,low,very_high,middle,12,0.3775283659544222
pythia-1.4b,draw_2,low,very_high,final,23,0.21421276390378158
pythia-1.4b,draw_2,low,control,early,1,0.5808952439403016
pythia-1.4b,draw_2,low,control,middle,12,0.38107803327873546
pythia-1.4b,draw_2,low,control,final,23,0.21188679078020436
pythia-1.4b,draw_2,medium,high,early,1,0.5668200544345757
pythia-1.4b,draw_2,medium,high,middle,12,0.3650002162429773
pythia-1.4b,draw_2,medium,high,final,23,0.2210951370751158
pythia-1.4b,draw_2,medium,very_high,early,1,0.5627972741483833
pythia-1.4b,draw_2,medium,very_high,middle,12,0.38501753348286916
pythia-1.4b,draw_2,medium,very_high,final,23,0.20549806996822145
pythia-1.4b,draw_2,medium,control,early,1,0.5777159212426465
pythia-1.4b,draw_2,medium,control,middle,12,0.378987210676038
pythia-1.4b,draw_2,medium,control,final,23,0.2145863929175525
pythia-1.4b,draw_2,high,very_high,early,1,0.5778847378463198
pythia-1.4b,draw_2,high,very_high,middle,12,0.3144832982316757
pythia-1.4b,draw_2,high,very_high,final,23,0.18461107790006392
pythia-1.4b,draw_2,high,control,early,1,0.5804101079249121
pythia-1.4b,draw_2,high,control,middle,12,0.3127080236859147
pythia-1.4b,draw_2,high,control,final,23,0.20764958291421498
pythia-1.4b,draw_2,very_high,control,early,1,0.5881126940596767
pythia-1.4b,draw_2,very_high,control,middle,12,0.33182128944310135
pythia-1.4b,draw_2,very_high,control,final,23,0.18888626242855747
pythia-1.4b,draw_3,low,medium,early,1,0.5448557486607993
pythia-1.4b,draw_3,low,medium,middle,12,0.42059982507638766
pythia-1.4b,draw_3,low,medium,final,23,0.2421504971687912
pythia-1.4b,draw_3,low,high,early,1,0.5503631740634335
pythia-1.4b,draw_3,low,high,middle,12,0.4051889747265619
pythia-1.4b,draw_3,low,high,final,23,0.2378342229535806
pythia-1.4b,draw_3,low,very_high,early,1,0.5595539988834851
pythia-1.4b,draw_3,low,very_high,middle,12,0.4007106340303202
pythia-1.4b,draw_3,low,very_high,final,23,0.22320326677575242
pythia-1.4b,draw_3,low,control,early,1,0.5697119292418682
pythia-1.4b,draw_3,low,control,middle,12,0.39659347678156825
pythia-1.4b,draw_3,low,control,final,23,0.22646906433845512
pythia-1.4b,draw_3,medium,high,early,1,0.5383780542788343
pythia-1.4b,draw_3,medium,high,middle,12,0.40177086293363273
pythia-1.4b,draw_3,medium,high,final,23,0.2359343175353161
pythia-1.4b,draw_3,medium,very_high,early,1,0.5474538727566814
pythia-1.4b,draw_3,medium,very_high,middle,12,0.39828849242737846
pythia-1.4b,draw_3,medium,very_high,final,23,0.23073980911630146
pythia-1.4b,draw_3,medium,control,early,1,0.5605060709081944
pythia-1.4b,draw_3,medium,control,middle,12,0.3855218847066901
pythia-1.4b,draw_3,medium,control,final,23,0.21021811735204757
pythia-1.4b,draw_3,high,very_high,early,1,0.5477530989666047
pythia-1.4b,draw_3,high,very_high,middle,12,0.3809055121324357
pythia-1.4b,draw_3,high,very_high,final,23,0.2254837322701773
pythia-1.4b,draw_3,high,control,early,1,0.5626537209510987
pythia-1.4b,draw_3,high,control,middle,12,0.36721976712909027
pythia-1.4b,draw_3,high,control,final,23,0.21752385492444218
pythia-1.4b,draw_3,very_high,control,early,1,0.5749445253729693
