model,draw,layer,base_efficiency,circuit_efficiency,delta_efficiency
pythia-410m,draw_2,0.0,0.0008698535814533,0.0008724349255000638,2.581344046763824e-06
pythia-410m,draw_2,1.0,0.0009744750047712,0.0009498790706484466,-2.459593412275341e-05
pythia-410m,draw_2,2.0,0.0009473189293504,0.0009348892856659839,-1.2429643684416097e-05
pythia-410m,draw_2,3.0,0.0009899419917691,0.000986336973321767,-3.6050184473331286e-06
pythia-410m,draw_2,4.0,0.0009044486725713,0.0009141557392318322,9.707066660532204e-06
pythia-410m,draw_2,5.0,0.0009064719874167,0.000883010112148068,-2.3461875268631998e-05
pythia-410m,draw_2,6.0,0.0008964784178701,0.0008816011570527298,-1.4877260817370143e-05
pythia-410m,draw_2,7.0,0.0008537023640571,0.0008559287308251738,2.226366768073732e-06
pythia-410m,draw_2,8.0,0.0008506453240037,0.0008523797393444032,1.734415340703217e-06
pythia-410m,draw_2,9.0,0.0008602518673946,0.0008810559567511477,2.0804089356547687e-05
pythia-410m,draw_2,10.0,0.0008533450966762,0.0008949119757875829,4.156687911138291e-05
pythia-410m,draw_2,11.0,0.0008585327020631,0.0008737644994148792,1.523179735177921e-05
pythia-410m,draw_2,12.0,0.0008543752318174,0.0008710564185508516,1.6681186733451562e-05
pythia-410m,draw_2,13.0,0.0008492891321686,0.0008665014872637822,1.7212355095182165e-05
pythia-410m,draw_2,14.0,0.0008858941845125,0.0009030106764409988,1.7116491928498767e-05
pythia-410m,draw_2,15.0,0.0009381504675082,0.0009565211305185355,1.837066301033552e-05
pythia-410m,draw_2,16.0,0.0009687534418198,0.0009704921885040603,1.7387466842603639e-06
pythia-410m,draw_2,17.0,0.0008640500342116,0.0008772320039482388,1.3181969736638776e-05
pythia-410m,draw_2,18.0,0.0007760915897534,0.0007955132110621909,1.9421621308790917e-05
pythia-410m,draw_2,19.0,0.0007977630837906,0.0008291002598971862,3.1337176106586116e-05
pythia-410m,draw_2,20.0,0.0007654095668445,0.0007955229029703836,3.0113336125883543e-05
pythia-410m,draw_2,21.0,0.0007266436544366,0.000789813788605522,6.317013416892205e-05
pythia-410m,draw_2,22.0,0.000873105131201,0.0009031309346102574,3.0025803409257346e-05
pythia-410m,draw_2,23.0,0.000985435030514,0.000998145941286355,1.2710910772355082e-05
pythia-410m,draw_3,0.0,0.0008440628264042,0.0008316342688507152,-1.242855755348481e-05
pythia-410m,draw_3,1.0,0.0009452971564196,0.0009278909816326585,-1.7406174786941515e-05
