model,draw,band,layer,head,entropy_mean,entropy_std,entropy_median
pythia-70m,draw_2,low,4,0,2.4246060848236084,1.1571636199951172,2.6837856769561768
pythia-70m,draw_2,low,4,1,0.6463050246238708,0.6149267554283142,0.45840081572532654
pythia-70m,draw_2,low,4,2,0.9011200666427612,0.7258679866790771,0.7404665946960449
pythia-70m,draw_2,low,4,3,0.04066389054059982,0.15430834889411926,0.0004691581707447767
pythia-70m,draw_2,low,4,4,1.2864353656768799,0.9367597699165344,1.2538847923278809
pythia-70m,draw_2,low,4,5,1.4434404373168945,0.9291084408760071,1.5064300298690796
pythia-70m,draw_2,low,4,6,0.8698696494102478,0.7981857657432556,0.8232611417770386
pythia-70m,draw_2,low,4,7,1.06591796875,0.8878717422485352,0.9137697219848633
pythia-70m,draw_2,low,5,0,0.695326566696167,0.6417881846427917,0.5007761120796204
pythia-70m,draw_2,low,5,1,0.8267724514007568,0.655197262763977,0.8249013423919678
pythia-70m,draw_2,low,5,2,0.35355621576309204,0.522882878780365,0.04514098912477493
pythia-70m,draw_2,low,5,3,0.16553045809268951,0.323527991771698,0.0007248095935210586
pythia-70m,draw_2,low,5,4,0.1136835366487503,0.3147435188293457,3.5946300158684608e-06
pythia-70m,draw_2,low,5,5,0.4994710683822632,0.7168132066726685,0.03925757855176926
pythia-70m,draw_2,low,5,6,0.13804130256175995,0.3131604492664337,0.0009774547070264816
pythia-70m,draw_2,low,5,7,0.6563732624053955,0.5938884615898132,0.5453907251358032
pythia-70m,draw_2,medium,0,0,3.876849412918091,0.3070649206638336,3.9591758251190186
pythia-70m,draw_2,medium,0,1,2.647975206375122,0.35929760336875916,2.6282432079315186
pythia-70m,draw_2,medium,0,2,2.640918731689453,0.6313624978065491,2.71067476272583
pythia-70m,draw_2,medium,0,3,0.5172189474105835,0.16550716757774353,0.4875134825706482
pythia-70m,draw_2,medium,0,4,2.090270757675171,0.5760100483894348,2.1181130409240723
pythia-70m,draw_2,medium,0,5,1.7252874374389648,0.6040095686912537,1.6812448501586914
pythia-70m,draw_2,medium,0,6,2.071201801300049,0.32579687237739563,2.0578386783599854
pythia-70m,draw_2,medium,0,7,2.2929811477661133,0.6451048851013184,2.407681465148926
pythia-70m,draw_2,medium,1,0,3.7482411861419678,0.2378978431224823,3.7950048446655273
pythia-70m,draw_2,medium,1,1,2.202406406402588,0.31155407428741455,2.2287344932556152
pythia-70m,draw_2,medium,1,2,2.5873632431030273,0.5047559142112732,2.651336669921875
pythia-70m,draw_2,medium,1,3,2.9438552856445312,0.258741557598114,2.9831957817077637
pythia-70m,draw_2,medium,1,4,3.2222211360931396,0.31011319160461426,3.2392666339874268
pythia-70m,draw_2,medium,1,5,3.261533260345459,0.3565225601196289,3.326120376586914
pythia-70m,draw_2,medium,1,6,3.47184681892395,0.42148730158805847,3.5333619117736816
pythia-70m,draw_2,medium,1,7,1.9542996883392334,0.5105694532394409,1.95955228805542
pythia-70m,draw_2,medium,2,0,3.162111759185791,0.4033123552799225,3.223494529724121
pythia-70m,draw_2,medium,2,1,0.6699423789978027,0.28018778562545776,0.6173408031463623
pythia-70m,draw_2,medium,2,2,3.711061954498291,0.1562660038471222,3.720907211303711
pythia-70m,draw_2,medium,2,3,3.2926716804504395,0.3519607186317444,3.35392165184021
